Date,Thor Low Volatility SDQ - Gross,Thor Low Volatility SDQ - Net,State Street SPDR S&P 500 ETF
2023-12-31,4.985113695093957,4.967284207473521,4.56626658600241
2024-01-31,1.5400175752047218,1.5225622966949848,1.592653159472679
2024-02-29,4.268109891702032,4.251658201029773,5.218688604176869
2024-03-31,2.2387895714010897,2.2214614597796833,3.272386922062931
2024-04-30,-4.926805157916059,-4.942628421378592,-4.031948747543956
2024-05-31,3.781386086708527,3.76401686543697,5.057997937364012
2024-06-30,2.4075523364944784,2.3907073177583893,3.528453274959875
2024-07-31,1.1628620606185969,1.1458833512761224,1.2109401782889107
2024-08-31,-5.35391091843257,-5.369847121296589,2.336571913115537
2024-09-30,1.4924151999378577,1.4758002840714601,2.1009231964360664
2024-10-31,-1.1489708672194343,-1.1660085724411684,-0.8923763816983898
2024-11-30,6.460092650835314,6.4427566133489655,5.963333899181356
