Date,Thor International  - Gross,Thor International  - Net,Vanguard Total World Stock ETF
2023-12-31,2.934895641455082,2.9174696236005104,5.1540584529081945
2024-01-31,-2.7058352101922423,-2.7224641183376086,-0.000006629774307320702
2024-02-29,3.4612909972312034,3.444954636187547,4.490672425759534
2024-03-31,2.948756101095662,2.9313526529448852,3.191079314651013
2024-04-30,-1.546257018293995,-1.5626366255204194,-3.583723069208844
2024-05-31,3.380157327755584,3.3627126051276157,4.599210546379684
2024-06-30,-1.3027495279011259,-1.3189311202453258,1.5873406858639916
2024-07-31,3.5544429912745867,3.5370415062408123,1.9799281974829386
2024-08-31,0.24530206468889038,0.22837362622221136,2.333270085013317
2024-09-30,0.8309461717113553,0.8143634880687145,2.198218127766882
2024-10-31,-2.5152069575464564,-2.531797077406117,-2.180448623190201
2024-11-30,0.5453820326561276,0.5289122311989747,4.14210591189097
